no_nodes
122

Node, X-Coordinate, Y-Coordinate
0,-11725059,3279964
1,-11725085,3280051
2,-11724874,3279999
3,-11725633,3279933
4,-11725662,3280026
5,-11725833,3279990
6,-11725448,3279973
7,-11725268,3280012
8,-11725241,3279919
9,-11724844,3279907
10,-11725791,3279897
11,-11725421,3279879
12,-11725029,3279866
13,-11725768,3279902
14,-11725606,3279841
15,-11725212,3279827
16,-11724817,3279814
17,-11725766,3279897
18,-11725814,3279892
19,-11725789,3279892
20,-11725739,3279814
21,-11725394,3279787
22,-11725001,3279773
23,-11725594,3279805
24,-11725183,3279734
25,-11724790,3279719
26,-11725703,3279720
27,-11725592,3279798
28,-11725635,3279787
29,-11725576,3279748
30,-11725366,3279693
31,-11724971,3279680
32,-11725548,3279654
33,-11725156,3279643
34,-11725718,3279716
35,-11725665,3279630
36,-11724761,3279633
37,-11725490,3279667
38,-11725339,3279608
39,-11724945,3279593
40,-11724757,3279621
41,-11725522,3279566
42,-11725126,3279553
43,-11725658,3279610
44,-11724730,3279527
45,-11724941,3279580
46,-11725633,3279541
47,-11725678,3279605
48,-11725308,3279513
49,-11725123,3279541
50,-11724912,3279486
51,-11725492,3279471
52,-11725094,3279449
53,-11725644,3279538
54,-11725305,3279501
55,-11725600,3279447
56,-11724700,3279430
57,-11725456,3279479
58,-11725453,3279468
59,-11725273,3279404
60,-11724882,3279391
61,-11725580,3279439
62,-11725489,3279460
63,-11725459,3279363
64,-11725065,3279352
65,-11725594,3279347
66,-11725595,3279436
67,-11725573,3279339
68,-11724670,3279338
69,-11725247,3279310
70,-11724853,3279298
71,-11725430,3279269
72,-11725034,3279262
73,-11725551,3279244
74,-11724646,3279255
75,-11725220,3279219
76,-11724826,3279215
77,-11724637,3279257
78,-11725518,3279251
79,-11725377,3279094
80,-11725011,3279174
81,-11724623,3279210
82,-11725503,3279206
83,-11725536,3279171
84,-11725193,3279137
85,-11725355,3279191
86,-11724805,3279156
87,-11724903,3279199
88,-11725479,3279211
89,-11724613,3279173
90,-11725495,3279180
91,-11724849,3279145
92,-11724987,3279179
93,-11725487,3279155
94,-11725007,3279101
95,-11724610,3279165
96,-11725531,3279146
97,-11725466,3279160
98,-11725441,3279078
99,-11724846,3279134
100,-11725510,3279150
101,-11725514,3279060
102,-11725175,3279085
103,-11725265,3279120
104,-11725006,3279093
105,-11725260,3279104
106,-11725039,3279065
107,-11725057,3279110
108,-11725317,3279093
109,-11725360,3279042
110,-11725291,3278986
111,-11725037,3279058
112,-11725334,3279090
113,-11725347,3279073
114,-11725467,3279071
115,-11725451,3279021
116,-11725493,3278969
117,-11725346,3278999
118,-11725442,3278980
119,-11725338,3278971
120,-11725460,3278977
121,-11725453,3278949

no_edges
182

Node Adjacency List
Node 1, Node 2,
0,1,
0,2,
3,4,
3,6,
5,4,
6,7,
8,7,
8,0,
9,2,
10,5,
11,6,
11,8,
12,0,
12,9,
13,3,
14,3,
14,11,
15,8,
15,12,
16,9,
17,13,
18,10,
19,10,
19,17,
20,17,
20,19,
20,14,
21,11,
21,15,
22,12,
22,16,
23,14,
24,15,
24,22,
25,16,
26,20,
26,29,
27,23,
28,27,
29,27,
29,21,
30,21,
30,24,
31,22,
31,25,
32,29,
32,37,
33,24,
33,31,
34,26,
35,26,
35,32,
36,25,
37,30,
38,30,
38,33,
39,31,
39,36,
40,36,
41,32,
41,38,
42,33,
42,39,
43,35,
44,40,
45,40,
45,39,
46,43,
46,41,
47,43,
48,38,
48,42,
49,45,
49,42,
50,45,
50,44,
51,41,
51,57,
52,49,
52,50,
53,46,
54,49,
54,48,
55,46,
56,44,
57,48,
58,54,
59,54,
59,52,
60,50,
60,56,
61,51,
61,62,
62,51,
62,58,
63,62,
63,59,
64,52,
64,60,
65,55,
66,55,
66,61,
67,66,
67,63,
67,65,
68,56,
69,59,
69,64,
70,60,
70,68,
71,63,
71,69,
72,64,
72,70,
73,67,
73,78,
74,68,
74,77,
75,69,
75,72,
76,70,
76,74,
78,71,
79,71,
79,103,
80,72,
80,92,
81,77,
82,78,
82,88,
83,73,
83,90,
84,75,
84,80,
85,75,
86,76,
86,95,
87,76,
89,81,
90,82,
91,87,
92,87,
93,90,
93,97,
94,92,
95,89,
96,83,
96,100,
98,97,
98,79,
99,86,
99,91,
100,93,
101,96,
101,114,
102,84,
102,107,
103,84,
104,99,
104,94,
105,103,
106,107,
108,105,
109,79,
110,108,
110,117,
111,104,
111,106,
112,108,
113,112,
114,98,
115,114,
115,109,
116,101,
116,120,
117,109,
118,115,
118,117,
119,117,
120,118,
121,120,
121,119,
