node,edge,d_nodetoedge
1,1,209.89806677773777
1,2,0
1,3,315.6840106754842
1,4,0
1,5,106.7379969832674
1,6,191.83847372203522
1,7,106.7379969832674
1,8,209.89806677773777
1,9,388.7592099373859
1,10,282.6991656705429
1,11,315.6840106754842
1,12,398.2196003313917
1,13,423.9244836973627
1,14,503.0289510592728
1,15,423.9244836973627
1,16,538.2092158359997
1,17,610.0336238544363
1,18,538.2092158359997
1,19,778.880461812442
1,20,635.7386985578926
1,21,725.2412986453402
1,22,635.7386985578926
1,23,191.83847372203522
1,24,732.0403080979205
1,25,732.0403080979205
1,26,819.882727205987
1,27,296.580036584616
1,28,778.880461812442
1,29,916.1843367460149
1,30,850.7205620350893
1,31,965.4816408012148
1,32,388.7592099373859
1,33,267.79898978136697
1,34,279.5036896920866
1,35,302.91308951352585
1,36,374.42532622865036
1,37,610.0336238544363
1,38,374.42532622865036
1,39,725.2412986453402
1,40,819.882727205987
1,41,795.1957150070261
1,42,374.42532622865036
1,43,916.1843367460149
1,44,1005.0448183585768
1,45,965.4816408012148
1,46,1121.271286743776
1,47,1030.3276121487088
1,48,1152.1631878271594
1,49,465.0454123023239
1,50,795.1957150070261
1,51,887.6727391806013
1,52,554.9342325193008
1,53,1005.0448183585768
1,54,916.471044508427
1,55,808.5034567795165
1,56,1101.3464278986048
1,57,887.6727391806013
1,58,1001.3709856155915
1,59,1121.271286743776
1,60,1084.8946774692854
1,61,1093.4386812146029
1,62,1084.8946774692854
1,63,808.5034567795165
1,64,651.5002720984406
1,65,1215.1356206331898
1,66,1093.4386812146029
1,67,1156.763242010553
1,68,651.5002720984406
1,69,1201.6551159747999
1,70,1156.763242010553
1,71,1001.3709856155915
1,72,916.471044508427
1,73,1156.763242010553
1,74,1319.6822609426708
1,75,745.276601734442
1,76,745.276601734442
1,77,1071.9008586412308
1,78,1350.6983857812124
1,79,1071.9008586412308
1,80,1402.3601418366293
1,81,1376.6983857812124
1,82,1397.8880058816296
1,83,837.3906614647568
1,84,1165.6771882772323
1,85,1165.6771882772323
1,86,1494.474201566944
1,87,1382.1581343209891
1,88,1382.1581343209891
1,89,931.7304727853228
1,90,931.7304727853228
1,91,1584.1681255529086
1,92,1475.0074746525177
1,93,1475.0074746525177
1,94,1361.4014841630524
1,95,1681.3123482323865
1,96,1564.8962948694946
1,97,1357.888232354808
1,98,1323.6829696018337
1,99,1111.8665324735484
1,100,1564.8962948694946
1,101,1442.1789562700699
1,102,1442.1789562700699
1,103,1428.4927647872235
1,104,1281.2329990482515
1,105,1772.860149953673
1,106,1656.0774332699334
1,107,1357.888232354808
1,108,1656.0774332699334
1,109,1676.6170764799779
1,110,1532.9368760346833
1,111,1864.0412883541119
1,112,1796.9508759490188
1,113,1747.2216089123933
2,1,0
2,2,175.96116868727557
2,3,32.984845004941285
2,4,282.699165670543
2,5,175.96116868727557
2,6,362.78863877973413
2,7,72.80109889280519
2,8,72.80109889280519
2,9,261.1226324464591
2,10,0
2,11,32.984845004941285
2,12,221.66446764607338
2,13,141.22531802681976
2,14,221.66446764607338
2,15,141.22531802681976
2,16,255.51005016545673
2,17,328.6691404412369
2,18,255.51005016545673
2,19,496.181296141899
2,20,353.0395328873496
2,21,442.54213297479725
2,22,353.0395328873496
2,23,472.1732812118416
2,24,449.3411424273775
2,25,449.3411424273775
2,26,537.183561535444
2,27,270.6094654269642
2,28,496.181296141899
2,29,633.485171075472
2,30,568.0213963645463
2,31,682.7824751306717
2,32,270.6094654269642
2,33,548.1337972711733
2,34,559.838497181893
2,35,583.2478970033322
2,36,654.7601337184567
2,37,328.6691404412369
2,38,513.8312315938267
2,39,442.54213297479725
2,40,537.183561535444
2,41,513.8312315938267
2,42,654.7601337184567
2,43,633.485171075472
2,44,722.3456526880339
2,45,682.7824751306717
2,46,838.572121073233
2,47,747.6284464781656
2,48,869.4640221566165
2,49,745.3802197921302
2,50,513.8312315938267
2,51,606.3082557674019
2,52,835.2690400091071
2,53,722.3456526880339
2,54,947.9690675583503
2,55,947.9690675583503
2,56,818.6472622280618
2,57,606.3082557674019
2,58,790.5363752280314
2,59,838.572121073233
2,60,802.1955117987424
2,61,810.7395155440599
2,62,802.1955117987424
2,63,1055.936655287261
2,64,931.8350795882469
2,65,932.4364549626466
2,66,810.7395155440599
2,67,874.0640763400102
2,68,931.8350795882469
2,69,918.9559503042567
2,70,874.0640763400102
2,71,863.0691264511858
2,72,863.0691264511858
2,73,874.0640763400102
2,74,1036.9830952721277
2,75,1025.6114092242483
2,76,884.3127048640329
2,77,790.5363752280314
2,78,1067.9992201106693
2,79,790.5363752280314
2,80,1119.6609761660861
2,81,1093.9992201106693
2,82,1115.1888402110865
2,83,1117.725468954563
2,84,884.3127048640329
2,85,884.3127048640329
2,86,1211.7750358964008
2,87,1100.79365090779
2,88,1100.79365090779
2,89,1212.065280275129
2,90,1212.065280275129
2,91,1301.4689598823654
2,92,1193.6429912393185
2,93,1193.6429912393185
2,94,1080.0370007498527
2,95,1398.6131825618434
2,96,1283.5318114562954
2,97,1429.1815978490627
2,98,1429.1815978490627
2,99,1392.2013399633547
2,100,1283.5318114562954
2,101,1160.8144728568702
2,102,1160.8144728568702
2,103,1251.5723926214837
2,104,1463.386860602037
2,105,1490.16098428313
2,106,1374.7129498567342
2,107,1358.5770654166472
2,108,1374.7129498567342
2,109,1395.2525930667782
2,110,1251.5723926214837
2,111,1581.3421226835687
2,112,1515.5863925358192
2,113,1465.8571254991937
3,1,103.16006979447037
3,2,0
3,3,208.94601369221687
3,4,106.7379969832674
3,5,0
3,6,189.84203960134857
3,7,0
3,8,103.16006979447037
3,9,282.0212129541185
3,10,175.96116868727557
3,11,208.94601369221687
3,12,291.4816033481243
3,13,317.18648671409534
3,14,396.2909540760054
3,15,317.18648671409534
3,16,431.4712188527323
3,17,503.2956268711689
3,18,431.4712188527323
3,19,672.1424648291745
3,20,529.0007015746252
3,21,618.5033016620728
3,22,529.0007015746252
3,23,298.5764707053026
3,24,625.3023111146531
3,25,625.3023111146531
3,26,713.1447302227195
3,27,189.84203960134857
3,28,672.1424648291745
3,29,809.4463397627475
3,30,743.9825650518218
3,31,858.7436438179473
3,32,282.0212129541185
3,33,374.5369867646344
3,34,386.241686675354
3,35,409.65108649679325
3,36,481.16332321191777
3,37,503.2956268711689
3,38,481.16332321191777
3,39,618.5033016620728
3,40,713.1447302227195
3,41,688.4577180237588
3,42,481.16332321191777
3,43,809.4463397627475
3,44,898.3068213753095
3,45,858.7436438179473
3,46,1014.5332897605085
3,47,923.5896151654412
3,48,1045.4251908438919
3,49,571.7834092855913
3,50,688.4577180237588
3,51,780.934742197334
3,52,661.6722295025683
3,53,898.3068213753095
3,54,1023.2090414916944
3,55,915.2414537627839
3,56,994.6084309153373
3,57,780.934742197334
3,58,965.1628616579635
3,59,1014.5332897605085
3,60,978.156680486018
3,61,986.7006842313356
3,62,978.156680486018
3,63,915.2414537627839
3,64,758.238269081708
3,65,1108.3976236499223
3,66,986.7006842313356
3,67,1050.0252450272858
3,68,758.238269081708
3,69,1094.9171189915323
3,70,1050.0252450272858
3,71,1037.6956128811178
3,72,1023.2090414916944
3,73,1050.0252450272858
3,74,1212.9442639594033
3,75,852.0145987177095
3,76,852.0145987177095
3,77,965.1628616579635
3,78,1243.960388797945
3,79,965.1628616579635
3,80,1295.6221448533618
3,81,1269.960388797945
3,82,1291.150008898362
3,83,944.1286584480243
3,84,1058.939191293965
3,85,1058.939191293965
3,86,1387.7362045836765
3,87,1275.4201373377218
3,88,1275.4201373377218
3,89,1038.4684697685905
3,90,1038.4684697685905
3,91,1477.430128569641
3,92,1368.2694776692504
3,93,1368.2694776692504
3,94,1254.663487179785
3,95,1574.574351249119
3,96,1458.1582978862273
3,97,1464.6262293380757
3,98,1430.4209665851015
3,99,1218.6045294568162
3,100,1458.1582978862273
3,101,1335.4409592868026
3,102,1335.4409592868026
3,103,1426.198879051416
3,104,1387.9709960315192
3,105,1666.1221529704055
3,106,1549.3394362866661
3,107,1464.6262293380757
3,108,1549.3394362866661
3,109,1569.8790794967106
3,110,1426.198879051416
3,111,1757.3032913708444
3,112,1690.2128789657515
3,113,1640.483611929126
4,1,141.22531802681976
4,2,317.18648671409534
4,3,0
4,4,423.92448369736275
4,5,317.18648671409534
4,6,501.5916988191992
4,7,214.02641691962495
4,8,214.02641691962495
4,9,399.9256924859242
4,10,108.24047302187847
4,11,108.24047302187847
4,12,295.11634175804306
4,13,0
4,14,188.1116689628796
4,15,0
4,16,114.28473213863697
4,17,188.1116689628796
4,18,114.28473213863697
4,19,354.95597811507923
4,20,211.81421486052983
4,21,301.3168149479775
4,22,211.81421486052983
4,23,610.9763412513066
4,24,308.11582440055776
4,25,308.11582440055776
4,26,395.95824350862426
4,27,409.4125254664293
4,28,354.95597811507923
4,29,492.2598530486522
4,30,426.7960783377265
4,31,541.557157103852
4,32,409.4125254664293
4,33,686.9368573106384
4,34,698.641557221358
4,35,722.0509570427972
4,36,793.5631937579217
4,37,188.1116689628796
4,38,373.2737601154695
4,39,301.3168149479775
4,40,395.95824350862426
4,41,373.2737601154695
4,42,793.5631937579217
4,43,492.2598530486522
4,44,581.1203346612142
4,45,541.557157103852
4,46,697.3468030464132
4,47,606.4031284513459
4,48,728.2387041297967
4,49,884.1832798315952
4,50,373.2737601154695
4,51,465.75078428904465
4,52,974.0721000485721
4,53,581.1203346612142
4,54,807.411596079993
4,55,807.411596079993
4,56,677.421944201242
4,57,465.75078428904465
4,58,649.9789037496741
4,59,697.3468030464132
4,60,660.9701937719227
4,61,669.5141975172403
4,62,660.9701937719227
4,63,915.3791838089036
4,64,915.3791838089036
4,65,791.2111369358269
4,66,669.5141975172403
4,67,732.8387583131905
4,68,1070.638139627712
4,69,777.730632277437
4,70,732.8387583131905
4,71,722.5116549728285
4,72,722.5116549728285
4,73,732.8387583131905
4,74,895.7577772453078
4,75,1164.4144692637135
4,76,743.7552333856756
4,77,649.9789037496741
4,78,926.7739020838494
4,79,649.9789037496741
4,80,978.435658139266
4,81,952.7739020838494
4,82,973.9635221842665
4,83,1256.5285289940282
4,84,743.7552333856756
4,85,743.7552333856756
4,86,1070.5497178695807
4,87,960.2361794294326
4,88,960.2361794294326
4,89,1350.8683403145942
4,90,1350.8683403145942
4,91,1160.2436418555453
4,92,1053.085519760961
4,93,1053.085519760961
4,94,939.4795292714956
4,95,1257.3878645350233
4,96,1142.974339977938
4,97,1288.6241263707057
4,98,1288.6241263707057
4,99,1365.2793596772622
4,100,1142.974339977938
4,101,1020.2570013785132
4,102,1020.2570013785132
4,103,1111.0149211431267
4,104,1322.82938912368
4,105,1348.9356662563098
4,106,1234.1554783783768
4,107,1218.0195939382902
4,108,1234.1554783783768
4,109,1254.6951215884212
